,index,carat,cut,color,clarity,depth,table,price,carat_scale,L/Wratio,shape,Potential Client,volume
0,7031,2.29,Premium,I,VS2,60.8,60.0,18823,2-2.5,1.0035419126328216,Fancy,Tiffany & Co,371.49420000000003
1,3988,2.0,Very Good,G,SI1,63.5,56.0,18818,1.75-2,0.9912170639899625,Fancy,Other,317.33352
2,29092,1.51,Ideal,G,IF,61.7,55.0,18806,1.50-1.75,0.9946018893387314,Fancy,Cartier,249.02935199999996
3,25517,2.29,Premium,I,SI1,61.8,59.0,18797,2-2.5,1.008284023668639,Cushion Cut,Other,377.24855999999994
4,618,2.0,Premium,I,VS1,60.8,59.0,18795,1.75-2,1.0137157107231922,Fancy,Tiffany & Co,320.144766
5,6909,2.04,Premium,H,SI1,58.1,60.0,18795,2-2.5,1.0108695652173914,Fancy,Other,335.4294239999999
6,34640,2.15,Ideal,G,SI2,62.6,54.0,18791,2-2.5,0.992814371257485,Fancy,Other,360.64401499999997
7,11424,1.71,Premium,F,VS2,62.3,59.0,18791,1.50-1.75,1.00531208499336,Cushion Cut,Tiffany & Co,267.90987
8,31679,2.05,Ideal,G,SI1,61.9,57.0,18787,2-2.5,0.9926470588235293,Fancy,Other,332.46288000000004
9,2081,2.05,Premium,F,SI2,60.2,59.0,18784,2-2.5,0.9939975990396157,Fancy,Other,344.86199999999997
10,19273,1.6,Ideal,F,VS1,62.0,56.0,18780,1.50-1.75,0.9933510638297872,Fancy,Tiffany & Co,261.21096
11,29245,2.06,Ideal,I,VS2,62.2,55.0,18779,2-2.5,0.9951159951159952,Fancy,Tiffany & Co,339.08237999999994
12,20431,1.51,Very Good,F,VVS1,62.6,59.0,18777,1.50-1.75,1.0124309392265194,Cushion Cut,Other,241.99555199999998
13,25358,2.55,Premium,I,VS1,61.8,62.0,18766,2.5-3,1.005780346820809,Radiant Cut,Tiffany & Co,403.3668
14,20659,2.08,Ideal,H,SI1,58.7,60.0,18760,2-2.5,0.9952380952380951,Fancy,Other,345.50208000000003
15,9194,2.0,Very Good,F,SI1,57.9,60.0,18759,1.75-2,0.9928057553956834,Fancy,Other,332.155512
16,28497,2.03,Ideal,G,SI1,60.0,55.8,18757,2-2.5,0.9843373493975903,Fancy,Other,335.66445000000004
17,14388,2.61,Ideal,I,SI2,62.1,56.0,18756,2.5-3,1.013745704467354,Cushion Cut,Other,421.84233000000006
18,6433,2.36,Premium,H,SI2,59.4,58.0,18745,2-2.5,0.9931428571428571,Fancy,Other,393.87424999999996
19,4913,2.01,Very Good,G,SI1,63.1,59.0,18741,2-2.5,1.0062656641604009,Cushion Cut,Other,323.60096999999996
20,10915,2.01,Ideal,G,SI1,62.2,56.0,18741,2-2.5,1.0062735257214555,Cushion Cut,Other,317.67941799999994
21,30622,2.01,Premium,G,SI1,60.3,59.0,18741,2-2.5,1.0098159509202453,Fancy,Other,331.34803000000005
22,4339,2.01,Ideal,G,SI1,62.1,57.0,18736,2-2.5,0.9975278121137207,Fancy,Other,327.73722599999996
23,25023,2.02,Very Good,E,SI1,59.8,59.0,18731,2-2.5,0.9890243902439024,Fancy,Other,324.52975999999995
24,21118,1.51,Ideal,E,VS1,61.5,57.0,18729,1.50-1.75,0.9918918918918919,Fancy,Tiffany & Co,246.05148000000003
25,39443,1.7,Premium,G,VVS2,59.8,59.0,18718,1.50-1.75,0.9935483870967742,Fancy,Cartier,275.6985
26,6908,2.18,Premium,F,SI1,61.2,60.0,18717,2-2.5,1.0096385542168675,Cushion Cut,Other,354.72540000000004
27,3621,3.01,Premium,J,SI2,59.7,58.0,18710,3-4,1.009656652360515,Fancy,Other,490.249708
28,633,2.0,Very Good,E,SI1,60.5,59.0,18709,1.75-2,0.9938574938574938,Fancy,Other,325.31184400000006
29,17635,2.07,Good,I,VS2,61.8,61.0,18707,2-2.5,0.9950980392156862,Fancy,Other,333.283776
30,29111,2.01,Premium,G,SI2,61.2,57.2,18705,2-2.5,0.9926289926289926,Fancy,Other,326.88286400000004
31,21504,3.51,Premium,J,VS2,62.5,59.0,18701,3-4,1.0031152647975077,Cushion Cut,Other,560.9455740000001
32,16524,1.28,Ideal,E,IF,60.7,57.0,18700,1.25-1.50,1.0143061516452074,Round Brilliant Cut,Harry Winston,211.61735699999997
33,12515,2.02,Ideal,G,VS2,62.0,57.0,18700,2-2.5,1.0062111801242235,Cushion Cut,Tiffany & Co,326.67704999999995
34,37173,2.19,Ideal,D,SI2,61.8,57.0,18693,2-2.5,0.9693757361601885,Fancy,Other,361.24185900000003
35,20701,2.48,Very Good,F,SI2,63.4,56.0,18692,2-2.5,1.0105263157894737,Cushion Cut,Other,402.6024000000001
36,27014,2.43,Premium,J,VS2,62.2,57.0,18692,2-2.5,1.0105386416861828,Cushion Cut,Other,393.55906799999997
37,29397,1.5,Very Good,G,VS2,60.7,59.0,18691,1.25-1.50,0.9905149051490515,Fancy,Other,240.60718799999998
38,30072,2.67,Good,F,SI2,63.8,58.0,18686,2.5-3,1.005787037037037,Cushion Cut,Other,415.95206399999995
39,2836,1.42,Ideal,F,VVS1,60.8,56.0,18682,1.25-1.50,0.9904371584699453,Fancy,Harry Winston,235.1001
40,34199,2.02,Premium,F,SI2,62.1,56.0,18678,2-2.5,1.0100125156445556,Cushion Cut,Other,321.75170700000007
41,15969,2.16,Very Good,F,SI2,62.4,59.0,18678,2-2.5,0.9939975990396157,Fancy,Other,357.27703199999996
42,39494,2.12,Premium,H,SI1,61.1,60.0,18656,2-2.5,0.9903147699757869,Fancy,Other,339.18533599999995
43,5201,2.1,Ideal,H,SI1,62.9,57.0,18648,2-2.5,1.0086206896551724,Cushion Cut,Other,341.159364
44,37383,2.09,Very Good,F,SI2,63.4,55.0,18640,2-2.5,1.0086313193588163,Cushion Cut,Other,342.31336799999997
45,28725,2.01,Good,H,VS2,63.3,55.0,18640,2-2.5,0.9911838790931989,Fancy,Other,312.439
46,32058,2.03,Very Good,G,SI1,60.1,60.0,18630,2-2.5,0.988997555012225,Fancy,Other,323.601618
47,23610,2.01,Good,G,SI1,60.3,60.0,18625,2-2.5,0.9865525672371639,Fancy,Other,323.4617400000001
48,2791,2.42,Premium,J,VS2,61.3,59.0,18615,2-2.5,1.0034965034965033,Cushion Cut,Other,389.31492599999996
49,26801,1.49,Ideal,F,VVS2,61.1,58.0,18614,1.25-1.50,0.9972899728997291,Fancy,Harry Winston,244.4256
50,30432,2.07,Premium,F,SI2,60.7,59.0,18611,2-2.5,1.0061274509803921,Fancy,Other,332.95819200000005
51,39019,2.29,Premium,J,IF,61.4,60.0,18594,2-2.5,1.004733727810651,Cushion Cut,Other,373.0506
52,25484,3.01,Good,H,SI2,57.6,64.0,18593,3-4,1.0063965884861406,Radiant Cut,Other,479.92582400000003
53,33135,2.03,Ideal,F,SI2,61.6,55.0,18578,2-2.5,1.006142506142506,Cushion Cut,Other,335.33299800000003
54,31421,2.01,Fair,G,SI1,70.6,64.0,18574,2-2.5,1.1189759036144578,Fancy,Other,231.38208799999998
55,1708,2.01,Good,G,SI1,63.1,59.0,18572,2-2.5,0.9937733499377336,Fancy,Other,323.60096999999996
56,112,2.01,Good,H,VS2,57.8,60.0,18561,2-2.5,0.992814371257485,Fancy,Other,332.95541499999996
57,10285,2.01,Very Good,H,VS2,60.7,56.0,18561,2-2.5,0.988984088127295,Fancy,Other,325.44704799999994
